,0
40750,1
40766,1
40778,1
40784,1
40803,1
40872,1
40894,1
40921,1
40924,3
40950,1
41031,1
41049,1
41117,1
41124,1
41163,1
41178,1
41233,1
41249,1
41328,1
41342,1
41386,1
41396,1
41469,1
41499,1
41528,1
41550,1
41560,1
41565,1
41635,1
41712,1
41715,1
41717,1
41719,1
41766,1
41807,1
41835,1
41848,1
41852,3
41879,1
41910,1
41958,1
42027,1
42088,1
42148,1
42153,1
42213,1
42244,1
42249,1
42281,1
42284,1
42306,1
42308,1
42328,1
42374,2
42423,1
42442,1
42488,1
42517,1
42527,1
42537,1
42546,1
42584,1
42603,1
42607,1
42626,1
42668,1
42681,1
42727,1
42740,1
42755,1
42760,1
42790,1
42791,1
42807,1
42860,1
42872,1
42878,1
42899,1
42911,1
42915,1
42962,1
43020,1
43038,1
43052,1
43066,1
43190,1
43293,1
43343,1
43356,3
43365,1
43426,3
43430,1
43454,1
43462,1
43522,1
43530,1
43532,1
43607,1
43615,1
43630,1
43651,1
43691,1
43701,1
43709,3
43770,1
43812,1
43837,1
43856,1
43910,1
43925,1
43959,1
43999,3
44018,1
44022,1
44033,1
44081,1
44151,1
44159,2
44172,1
44201,1
44211,1
44243,1
44247,1
44296,1
44297,1
44386,1
44390,1
44406,1
44416,1
44484,1
44485,1
44495,1
44536,1
44542,1
44579,1
44629,1
44655,1
44664,1
44665,1
44729,1
44737,1
44738,1
44853,1
44870,1
44895,1
44977,1
44990,1
45016,1
45021,1
45029,3
45061,1
45099,1
45131,1
45140,3
45202,1
45289,1
45372,1
45405,1
45427,1
45467,1
45497,1
45498,1
45509,1
45517,1
45526,1
45559,1
45570,1
45577,1
45589,1
45609,1
45730,1
45743,1
45747,3
45748,1
45758,1
45782,1
45827,1
45851,1
45852,1
45859,1
45864,1
45996,1
46031,1
46081,3
46082,1
46095,1
46114,3
46131,1
46144,1
46175,1
46178,1
46181,3
46184,1
46186,1
46188,1
46197,1
46283,1
46309,1
46353,3
46403,1
46450,1
46472,2
46556,1
46584,3
46594,1
46653,3
46662,1
46677,1
46692,1
46720,1
46731,1
46737,1
46740,3
46763,1
46792,3
46850,1
46855,3
46867,1
46900,1
46923,1
47003,1
47012,1
47042,1
47090,3
47117,1
47167,1
47181,1
47206,3
47208,1
47229,1
47245,1
47400,1
47425,1
47442,1
47473,1
47474,1
47529,1
47538,1
47584,1
47614,3
47622,1
47682,1
47715,1
47747,1
47756,1
47920,1
47982,1
47995,1
48021,1
48038,1
48047,1
